Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
20.3059;4961.88;23.46;0.1
13.5123;4811.78;31.34;0.11
18.8472;4985.86;8.37;0.41
4.22325;292.469;29.4;-0.09
20.403;4975.43;22.42;0.06
18.3239;4986.74;22.9;-0.16
3.43352;145.964;19.65;-0.36
18.0659;4986.12;15.42;-0.02
16.6041;4984.8;12.51;0.32
14.722;4851.86;41.48;-0.08
16.0652;4899.45;37.56;-0.01
5.63177;760.197;40.03;0
14.4501;4590.21;42.67;0.06
8.20512;2503.94;31.34;-0.29
13.6038;4982.79;16.95;-0.28
18.2365;4985.34;17.65;0.33
14.939;4972.24;24.51;-0.49
14.5904;4898.72;32.7;-0.06
20.6337;4985.78;17.29;0.26
16.3013;4842.08;33.09;-0.15
18.2523;4986.34;14.59;-0.19
3.32891;114.45;10.39;-0.32
5.74507;779.3;36.35;0.26
23.6086;4986.41;13.75;-0.35
19.4623;4835.61;40.48;0.43
18.8784;4986.03;14.82;0.36
8.56074;2586.19;38.87;0.08
24.1396;4975.64;24.8;-0.37
21.5702;4959.26;29.08;0.09
14.0411;4965.05;21.87;-0.06
24.8856;4985.86;14.02;-0.31
17.8384;4985.63;9.64;0.1
14.8979;4982.93;12.97;-0.21
23.1957;4826.3;39.23;0.33
22.371;4917.13;35.5;0.3
16.1418;4971.92;22.51;-0.39
21.1576;4955.21;25.5;0.4
8.54808;2753.82;27.07;-0.44
19.2507;4871.1;40.07;0.24
25.028;4753.61;44.81;0.11
10.2731;3623.86;31;0.1
15.6662;4819.11;33.64;0.25
24.6519;4822.26;41.12;0.07
3.44434;119.172;18.88;-0.02
6.93063;1281.17;24.74;0.18
10.2119;3670.01;7.32;0.07
16.1542;4985.13;5.81;0.18
18.7792;4981.01;25.21;-0.29
13.83;4949.14;16.74;0.27
24.8868;4987.11;9.38;0.08
22.8125;4946.46;31.43;-0.31
7.85352;2021.19;37.49;-0.1
5.25573;518.215;13.63;0.03
13.9336;4877.07;32.65;-0.32
16.1749;4754.21;43.58;-0.42
13.6077;4680.21;44.56;0.21
22.9417;4985.83;15.57;-0.29
18.3446;4986.41;10.25;-0.2
14.6511;4819.9;39.71;0.16
17.762;4902.4;37.18;-0.33
20.7807;4973.41;29.33;0.01
7.62572;1869.53;26.06;-0.28
20.8622;4987.02;10.51;-0.14
20.3789;4986.79;11.22;0
7.98241;2104.69;35.96;0.05
5.57969;603.414;8.84;-0.01
20.0162;4984.66;18.13;0.26
10.5392;3903.73;14.42;0.08
15.2911;4895.68;27.27;-0.06
5.99058;915.954;35.37;-0.18
24.7429;4986.08;16.54;0.24
21.857;4957.63;30.24;0.44
15.5316;4984.07;6.69;0.36
12.8737;4881.86;17.93;0.37
3.30461;152.198;44.3;0.13
13.4298;4960.32;17.31;0.23
